2023-12-17 15:12:628 INFO  HomePage :43 - Select top menu.Computersfrom optionsComputers
2023-12-17 15:12:508 INFO  ComputerPage :35 - Verify computers text.[[ChromeDriver: chrome on windows (e4abb9013252475fecc6875eae0e4c0a)] -> xpath: //h1[contains(text(),'Computers')]]
2023-12-17 15:12:845 INFO  HomePage :43 - Select top menu.Computersfrom optionsComputers
2023-12-17 15:12:68 INFO  ComputerPage :41 - Select option from sublist.Desktopsfrom options
2023-12-17 15:12:599 INFO  DesktopPage :36 - Verify desktops text.[[ChromeDriver: chrome on windows (05fd2d4bacd72d25315236dce9f80df4)] -> xpath: //h1[contains(text(),'Desktops')]]
2023-12-17 15:12:623 INFO  HomePage :43 - Select top menu.Computersfrom optionsComputers
2023-12-17 15:12:904 INFO  ComputerPage :41 - Select option from sublist.Desktopsfrom options
2023-12-17 15:12:683 INFO  DesktopPage :56 - Click on build your own computer.[[ChromeDriver: chrome on windows (d98dd14f0cb1be33bd0cefb1fa8ce0c4)] -> xpath: //a[contains(text(),'Build your own computer')]]
2023-12-17 15:12:420 INFO  BuildYourOwnComputerPage :66 - Select processor from drop down list.2.2 GHz Intel Pentium Dual-Core E2200from drop down[[ChromeDriver: chrome on windows (d98dd14f0cb1be33bd0cefb1fa8ce0c4)] -> id: product_attribute_1]
2023-12-17 15:12:635 INFO  BuildYourOwnComputerPage :71 - Select ram from drop down list.2 GBfrom drop down[[ChromeDriver: chrome on windows (d98dd14f0cb1be33bd0cefb1fa8ce0c4)] -> id: product_attribute_2]
2023-12-17 15:12:765 INFO  BuildYourOwnComputerPage :77 - Select HDD radio button.320 GB
2023-12-17 15:12:870 INFO  BuildYourOwnComputerPage :92 - Select OS radio button.Vista Home [+$50.00]
2023-12-17 15:12:40 INFO  BuildYourOwnComputerPage :129 - Click on add to cart button.[[ChromeDriver: chrome on windows (d98dd14f0cb1be33bd0cefb1fa8ce0c4)] -> id: add-to-cart-button-1]
2023-12-17 15:12:757 INFO  BuildYourOwnComputerPage :134 - Verify product has been added text.[[ChromeDriver: chrome on windows (d98dd14f0cb1be33bd0cefb1fa8ce0c4)] -> xpath: //div[@class='bar-notification success']/p]
2023-12-17 15:12:291 INFO  HomePage :43 - Select top menu.Computersfrom optionsComputers
2023-12-17 15:12:26 INFO  ComputerPage :41 - Select option from sublist.Desktopsfrom options
2023-12-17 15:12:570 INFO  DesktopPage :56 - Click on build your own computer.[[ChromeDriver: chrome on windows (d6ba57f80729403e619f2e7e51dd8447)] -> xpath: //a[contains(text(),'Build your own computer')]]
2023-12-17 15:12:145 INFO  BuildYourOwnComputerPage :66 - Select processor from drop down list.2.5 GHz Intel Pentium Dual-Core E2200 [+$15.00]from drop down[[ChromeDriver: chrome on windows (d6ba57f80729403e619f2e7e51dd8447)] -> id: product_attribute_1]
2023-12-17 15:12:265 INFO  BuildYourOwnComputerPage :71 - Select ram from drop down list.4GB [+$20.00]from drop down[[ChromeDriver: chrome on windows (d6ba57f80729403e619f2e7e51dd8447)] -> id: product_attribute_2]
2023-12-17 15:12:432 INFO  BuildYourOwnComputerPage :77 - Select HDD radio button.400 GB [+$100.00]
